drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Pembro,SKCM,curvature,0,LinearSVM,0.6458333333333334,0.6060606060606061,0.5545112781954887,17,2,11,3
Pembro,SKCM,curvature,1,LinearSVM,0.6041666666666666,0.5151515151515151,0.5037593984962406,11,8,8,6
Pembro,SKCM,curvature,2,LinearSVM,0.6458333333333334,0.5454545454545454,0.5206766917293233,13,6,9,5
Pembro,SKCM,weights,0,LinearSVM,1.0,0.3939393939393939,0.3890977443609023,8,11,9,5
Pembro,SKCM,weights,1,LinearSVM,1.0,0.6060606060606061,0.6015037593984962,12,7,6,8
Pembro,SKCM,weights,2,LinearSVM,1.0,0.5757575757575758,0.556390977443609,13,6,8,6
Pembro,SKCM,expression,0,LinearSVM,0.9895833333333334,0.5757575757575758,0.6033834586466165,8,11,3,11
Pembro,SKCM,expression,1,LinearSVM,0.9791666666666666,0.5151515151515151,0.513157894736842,10,9,7,7
Pembro,SKCM,expression,2,LinearSVM,1.0,0.6363636363636364,0.637218045112782,12,7,5,9
Pembro,SKCM,curvature,0,RBF_SVM,0.90625,0.42424242424242425,0.4342105263157895,7,12,7,7
Pembro,SKCM,curvature,1,RBF_SVM,0.7291666666666666,0.42424242424242425,0.424812030075188,8,11,8,6
Pembro,SKCM,curvature,2,RBF_SVM,0.8125,0.45454545454545453,0.4323308270676692,11,8,10,4
Pembro,SKCM,weights,0,RBF_SVM,1.0,0.5757575757575758,0.5,19,0,14,0
Pembro,SKCM,weights,1,RBF_SVM,0.7291666666666666,0.45454545454545453,0.4323308270676692,11,8,10,4
Pembro,SKCM,weights,2,RBF_SVM,0.9479166666666666,0.6060606060606061,0.6015037593984962,12,7,6,8
Pembro,SKCM,expression,0,RBF_SVM,1.0,0.5757575757575758,0.5,19,0,14,0
Pembro,SKCM,expression,1,RBF_SVM,1.0,0.5757575757575758,0.5,19,0,14,0
Pembro,SKCM,expression,2,RBF_SVM,1.0,0.5757575757575758,0.5,19,0,14,0
