drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Pembro,STAD,curvature,0,LinearSVM,0.9393939393939394,0.5,0.3333333333333333,6,3,3,0
Pembro,STAD,curvature,1,LinearSVM,0.8484848484848485,0.4166666666666667,0.5,3,6,1,2
Pembro,STAD,curvature,2,LinearSVM,0.8181818181818182,0.5833333333333334,0.6111111111111112,5,4,1,2
Pembro,STAD,weights,0,LinearSVM,1.0,0.75,0.8333333333333333,6,3,0,3
Pembro,STAD,weights,1,LinearSVM,1.0,0.5833333333333334,0.6111111111111112,5,4,1,2
Pembro,STAD,weights,2,LinearSVM,1.0,0.9166666666666666,0.8333333333333333,9,0,1,2
Pembro,STAD,expression,0,LinearSVM,1.0,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,expression,1,LinearSVM,1.0,0.9166666666666666,0.9444444444444444,8,1,0,3
Pembro,STAD,expression,2,LinearSVM,1.0,0.5,0.5555555555555556,4,5,1,2
Pembro,STAD,curvature,0,RBF_SVM,0.9696969696969697,0.75,0.5,9,0,3,0
Pembro,STAD,curvature,1,RBF_SVM,0.9696969696969697,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,2,RBF_SVM,0.9696969696969697,0.3333333333333333,0.2222222222222222,4,5,3,0
Pembro,STAD,weights,0,RBF_SVM,1.0,0.9166666666666666,0.8333333333333333,9,0,1,2
Pembro,STAD,weights,1,RBF_SVM,0.9393939393939394,0.6666666666666666,0.6666666666666666,6,3,1,2
Pembro,STAD,weights,2,RBF_SVM,1.0,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,expression,0,RBF_SVM,1.0,0.75,0.611111111111111,8,1,2,1
Pembro,STAD,expression,1,RBF_SVM,1.0,0.75,0.7222222222222222,7,2,1,2
Pembro,STAD,expression,2,RBF_SVM,1.0,0.9166666666666666,0.9444444444444444,8,1,0,3
